dra,ddec,mag
-1.44487,-4.2009300000000005,17.32
-1.41882,-4.18895,17.32
-1.39277,-4.17696,17.32
-1.3667200000000002,-4.16498,17.32
-1.34067,-4.15299,17.33
-1.3146200000000001,-4.14101,17.33
-1.28856,-4.12902,17.33
-1.2625,-4.117030000000001,17.33
-1.23644,-4.10504,17.33
-1.21038,-4.09305,17.33
-1.18432,-4.08106,17.33
-1.15826,-4.06907,17.33
-1.13219,-4.05708,17.33
-1.1061299999999998,-4.04509,17.33
-1.08006,-4.0331,17.33
-1.05399,-4.0211,17.33
-1.0279200000000002,-4.00911,17.33
-1.00185,-3.9971099999999997,17.33
-0.97578,-3.9851199999999998,17.33
-0.9497,-3.9731199999999998,17.33
-0.92363,-3.9611300000000003,17.34
-0.89755,-3.9491300000000003,17.34
-0.8714700000000001,-3.9371300000000002,17.34
-0.84539,-3.9251300000000002,17.34
-0.81931,-3.91313,17.34
-0.79323,-3.90113,17.34
-0.76715,-3.88913,17.34
-0.74107,-3.87713,17.34
-0.7149800000000001,-3.86513,17.34
-0.6889,-3.85313,17.34
-0.66281,-3.84113,17.34
-0.63672,-3.82913,17.34
-0.61063,-3.8171199999999996,17.34
-0.58454,-3.8051199999999996,17.34
-0.55845,-3.79311,17.34
-0.53236,-3.78111,17.34
-0.50627,-3.76911,17.34
-0.48018,-3.7571,17.35
-0.45408999999999994,-3.7450900000000003,17.35
-0.42799,-3.7330900000000002,17.35
-0.4019,-3.72108,17.35
-0.3758,-3.7090699999999996,17.35
-0.34970999999999997,-3.6970699999999996,17.35
-0.32361,-3.68506,17.35
-0.29751,-3.67305,17.35
-0.27141,-3.6610400000000003,17.35
-0.24531,-3.64903,17.35
-0.21921999999999997,-3.63703,17.35
-0.19312,-3.6250199999999997,17.35
-0.16702,-3.61301,17.35
-0.14092000000000002,-3.601,17.35
-0.11481,-3.5889900000000003,17.35
-0.08871,-3.5769800000000003,17.35
-0.06261,-3.5649699999999998,17.35
-0.03651,-3.5529599999999997,17.36
-0.010409999999999999,-3.54095,17.36
0.015694999999999997,-3.52894,17.36
0.041797,-3.51692,17.36
0.0679,-3.5049099999999997,17.36
0.094003,-3.4929,17.36
0.12010599999999999,-3.48089,17.36
0.14620999999999998,-3.4688800000000004,17.36
0.17231300000000002,-3.45687,17.36
0.198417,-3.44485,17.36
0.224521,-3.43284,17.36
0.250625,-3.4208300000000005,17.36
0.27672800000000003,-3.4088199999999995,17.36
0.302832,-3.39681,17.36
0.328936,-3.38479,17.36
0.355039,-3.37278,17.36
0.381143,-3.3607699999999996,17.36
0.407246,-3.34876,17.37
0.433349,-3.33675,17.37
0.459452,-3.32473,17.37
0.485555,-3.3127199999999997,17.37
0.511658,-3.30071,17.37
0.53776,-3.2887,17.37
0.563862,-3.27668,17.37
0.589964,-3.26467,17.37
0.616065,-3.2526599999999997,17.37
0.642167,-3.24065,17.37
0.668267,-3.22864,17.37
0.694367,-3.21663,17.37
0.720467,-3.2046099999999997,17.37
0.746567,-3.1926,17.37
0.7726649999999999,-3.18059,17.37
0.798764,-3.16858,17.37
0.8248620000000001,-3.15657,17.37
0.850959,-3.14456,17.38
0.877056,-3.13255,17.38
0.9031520000000001,-3.12054,17.38
0.9292469999999999,-3.10853,17.38
0.955342,-3.09652,17.38
0.9814360000000001,-3.08451,17.38
1.0075290000000001,-3.0725,17.38
1.033621,-3.06049,17.38
1.059713,-3.04848,17.38
1.085804,-3.03647,17.38
1.1118940000000002,-3.02447,17.38
1.137984,-3.01246,17.38
1.164072,-3.00045,17.38
1.19016,-2.98844,17.38
1.216246,-2.97644,17.38
1.242332,-2.96443,17.38
1.268416,-2.95242,17.38
1.2945,-2.94042,17.39
1.320583,-2.92841,17.39
1.3466639999999999,-2.91641,17.39
1.372745,-2.9044,17.39
1.398824,-2.8924,17.39
1.4249100000000001,-2.8803900000000002,17.39
1.450986,-2.86839,17.39
1.477062,-2.85639,17.39
1.503136,-2.84438,17.39
1.52921,-2.83238,17.39
1.555281,-2.82038,17.39
1.581352,-2.80838,17.39
1.607422,-2.79638,17.39
1.6334899999999999,-2.78438,17.39
1.659556,-2.77238,17.39
1.6856220000000002,-2.76038,17.39
1.711686,-2.74839,17.39
1.7377479999999998,-2.73639,17.39
1.763809,-2.72439,17.4
1.789869,-2.7124,17.4
1.815927,-2.7004,17.4
